market_date_sec,tradingDay,time,product,symbol,open,high,low,close,last,volume,oi,askPrice1,bidPrice1,askVolume1,bidVolume1,limitUp,limitDown,factor,UTC
2022-05-20 10:09:16,2022-05-20,2022-05-20 10:09:16.948,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3417.0,21543,29114,3418.0,3416.5,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:16
2022-05-20 10:09:19,2022-05-20,2022-05-20 10:09:19.318,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.0,21545,29114,3418.5,3417.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:19
2022-05-20 10:09:20,2022-05-20,2022-05-20 10:09:20.113,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21546,29114,3419.0,3417.0,4,1,3834.0,2834.0,1.0,2022-05-19 21:09:20
2022-05-20 10:09:21,2022-05-20,2022-05-20 10:09:21.645,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21546,29114,3419.0,3417.5,4,1,3834.0,2834.0,1.0,2022-05-19 21:09:21
2022-05-20 10:09:22,2022-05-20,2022-05-20 10:09:22.472,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3418.5,21546,29114,3419.0,3418.5,4,1,3834.0,2834.0,1.0,2022-05-19 21:09:22
2022-05-20 10:09:23,2022-05-20,2022-05-20 10:09:23.682,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21562,29115,3420.0,3419.5,3,4,3834.0,2834.0,1.0,2022-05-19 21:09:23
2022-05-20 10:09:24,2022-05-20,2022-05-20 10:09:24.473,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.0,21569,29113,3422.5,3420.0,1,4,3834.0,2834.0,1.0,2022-05-19 21:09:24
2022-05-20 10:09:25,2022-05-20,2022-05-20 10:09:25.649,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.0,21569,29113,3421.5,3420.0,4,1,3834.0,2834.0,1.0,2022-05-19 21:09:25
2022-05-20 10:09:26,2022-05-20,2022-05-20 10:09:26.039,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.5,21570,29114,3421.5,3420.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:26
2022-05-20 10:09:27,2022-05-20,2022-05-20 10:09:27.303,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.5,21570,29114,3421.5,3421.0,1,1,3834.0,2834.0,1.0,2022-05-19 21:09:27
